Angle (degrees),Height,Peça,Scan,Iteração,Part
40.74844937420545,25.40189728678125,LMA,markers,1,part1
40.04391810450243,25.409951375307603,LMA,markers,1,part2
40.30672758594464,25.569970892885376,LMA,markers,2,part1
40.06197849165091,25.60855338950513,LMA,markers,2,part2
40.695251022910966,25.450326594748717,LMA,markers,3,part1
40.0342256559583,25.4613716061,LMA,markers,3,part2
40.37260751391304,25.521328922034648,LMA,markers,4,part1
39.71943065960568,25.492187538368427,LMA,markers,4,part2
40.11077595457366,25.50869431229618,LMA,markers,5,part1
40.040092410342965,25.437458690683332,LMA,markers,5,part2
40.41291730476597,25.384484884034965,LMA,markers,6,part1
40.573123241568574,25.3890431581875,LMA,markers,6,part2
40.431406794600434,25.667470034908977,LMA,markers,7,part1
40.61338111906619,25.386791129414284,LMA,markers,7,part2
40.284477325277024,25.673251510732143,LMA,markers,8,part1
40.88026327340442,25.38122749271795,LMA,markers,8,part2
39.7378445184338,25.480736942225,LMA,markers,1,part1
40.04912254944861,25.52974680638588,LMA,markers,1,part2
40.507716765517145,25.43645027164352,LMA,markers,2,part1
40.013607030139326,25.321687102470086,LMA,markers,2,part2
40.06585334127783,25.35402982044615,LMA,markers,3,part1
40.01267040061811,25.41563024339276,LMA,markers,3,part2
40.514060390313695,25.515222619147057,LMA,markers,4,part1
39.92009326030114,25.412017988866666,LMA,markers,4,part2
40.22532445193087,25.1294573737375,LMA,markers,5,part1
39.86781257048447,25.54161313338558,LMA,markers,5,part2
40.355379443329085,25.47145730431897,LMA,markers,6,part1
39.821554945388655,25.5214085195691,LMA,markers,6,part2
40.25691931043734,25.569292808127187,LMA,markers,7,part1
40.26126628632224,25.49171846172738,LMA,markers,7,part2
39.78149953863638,25.417143041107146,LMA,markers,8,part1
40.174954471538925,25.475562809735177,LMA,markers,8,part2
40.336670670494996,25.45147288190986,LMA,markers,1,part1
40.45492318666866,25.35148402015926,LMA,markers,1,part2
40.03050002028058,25.47346976303581,LMA,markers,2,part1
39.93555854507129,25.52854474988025,LMA,markers,2,part2
40.37074019399476,25.4298781542973,LMA,markers,3,part1
40.313473023595066,25.556459331789473,LMA,markers,3,part2
40.458035696098904,25.4147136084731,LMA,markers,4,part1
40.49013709366747,25.428364375424998,LMA,markers,4,part2
40.42629820406925,25.402542548969887,LMA,markers,5,part1
40.23294983855123,25.46217055775131,LMA,markers,5,part2
39.87445929215717,25.670254982519708,LMA,markers,6,part1
39.91159210115387,25.403862531857147,LMA,markers,6,part2
39.896347773237835,25.258516866543648,LMA,markers,7,part1
40.29153820481245,25.56698085151333,LMA,markers,7,part2
40.043811580149935,24.49972457632894,LMA,markers,8,part1
39.96525605809807,25.526922868303334,LMA,markers,8,part2
39.98472191906117,25.500419184831816,LMA,markers,1,part1
39.86041227095262,25.466927729799217,LMA,markers,1,part2
40.23830544622117,25.55325402206959,LMA,markers,2,part1
39.95597073724835,25.543701997324998,LMA,markers,2,part2
40.39205387938475,25.62521385107744,LMA,markers,3,part1
40.23219292422529,25.53284312857143,LMA,markers,3,part2
40.493157983351914,25.518451132733333,LMA,markers,4,part1
39.96150229115185,25.583499294954166,LMA,markers,4,part2
40.023837088386315,25.646282902038454,LMA,markers,5,part1
40.23292582247923,25.560278216486946,LMA,markers,5,part2
40.37211138428404,25.428381448976594,LMA,markers,6,part1
39.86041068112805,25.530852005502382,LMA,markers,6,part2
39.99033728683621,25.508760474035892,LMA,markers,7,part1
40.126947565819854,25.556790302049897,LMA,markers,7,part2
40.16535572395285,25.464479272358975,LMA,markers,8,part1
39.989341434977575,25.610723068824676,LMA,markers,8,part2
40.35003178314069,25.49718049821053,LMD,markers,1,part1
40.59712800723677,25.52903308758128,LMD,markers,1,part2
40.31018443600621,25.561440379859476,LMD,markers,2,part1
40.283841461912665,25.64451209177143,LMD,markers,2,part2
40.2450772060841,25.598674325229574,LMD,markers,3,part1
40.232578251685965,25.297692886311452,LMD,markers,3,part2
40.008780540207844,25.531474653657977,LMD,markers,4,part1
40.3178976792389,25.234025896179336,LMD,markers,4,part2
40.17433305636228,25.44057956609048,LMD,markers,5,part1
40.26902211144829,25.59418692424148,LMD,markers,5,part2
40.17433305636228,25.44057956609048,LMD,markers,6,part1
40.26902211144829,25.59418692424148,LMD,markers,6,part2
40.15821190956827,25.547653583625,LMD,markers,7,part1
40.47070870883325,25.498698990270764,LMD,markers,7,part2
40.32879093671542,25.617175389352198,LMD,markers,8,part1
40.192879539922096,25.523370252682795,LMD,markers,8,part2
40.06376202453875,25.509687543279856,LMD,markers,1,part1
40.31601535897285,25.409052626083334,LMD,markers,1,part2
40.54071238395705,25.632392753090908,LMD,markers,2,part1
40.13838993090162,25.437659301773277,LMD,markers,2,part2
40.25693927931163,25.532940708757142,LMD,markers,3,part1
40.22746878099909,25.592855401155557,LMD,markers,3,part2
40.23126980885577,25.306535068844443,LMD,markers,4,part1
40.31520323422167,25.34385392285576,LMD,markers,4,part2
40.326571641255974,25.596285664682362,LMD,markers,5,part1
40.19267080186954,24.755629873908493,LMD,markers,5,part2
40.24859480472931,25.645434377838814,LMD,markers,6,part1
40.18309567762334,25.221459441314284,LMD,markers,6,part2
40.26552603874451,25.5151455363141,LMD,markers,7,part1
40.02950833064629,25.4029221521625,LMD,markers,7,part2
40.29865690395532,25.52129679276923,LMD,markers,8,part1
39.91612793361481,25.633887863824544,LMD,markers,8,part2
40.30727978757228,25.7134412878198,LMD,markers,1,part1
40.22832280476497,25.48424333298052,LMD,markers,1,part2
40.445361110173124,25.60623656574603,LMD,markers,2,part1
40.18149525342563,25.133330633908336,LMD,markers,2,part2
40.065861020264535,25.644408657996713,LMD,markers,3,part1
40.20227531316305,25.57333191091414,LMD,markers,3,part2
40.21246379437735,25.439281886226386,LMD,markers,4,part1
40.20451972154792,25.333238003589287,LMD,markers,4,part2
40.1983683766892,25.634938330516892,LMD,markers,5,part1
40.21671852564848,25.15595962362772,LMD,markers,5,part2
40.303748622276814,25.617858730469294,LMD,markers,6,part1
40.133309583789014,25.595311837518384,LMD,markers,6,part2
40.158081367413025,25.545793273184273,LMD,markers,7,part1
