Angle (degrees),Height,Peça,Scan,Iteração,Part
70.38855455760161,82.67826287928763,0.4 mesh,50perc,1,part1
69.92732779280645,82.37108489558372,0.4 mesh,50perc,1,part2
70.35840480827474,82.30867033835393,0.4 mesh,50perc,2,part1
69.77875629155938,82.46889939574748,0.4 mesh,50perc,2,part2
70.56387765365335,82.61384729763513,0.4 mesh,50perc,3,part1
69.75756420236517,82.41349616831063,0.4 mesh,50perc,3,part2
70.48995928356534,82.45762795123659,0.4 mesh,50perc,4,part1
69.57019503578773,82.3749734086818,0.4 mesh,50perc,4,part2
70.525055800579,82.3198065662408,0.4 mesh,50perc,5,part1
69.74657411197497,82.37083775930098,0.4 mesh,50perc,5,part2
70.53068465673095,82.41752079647372,0.4 mesh,50perc,6,part1
69.9606886591352,82.7411617444286,0.4 mesh,50perc,6,part2
70.36437109349073,82.41669833505392,0.4 mesh,50perc,7,part1
70.18529151420537,82.73126067846154,0.4 mesh,50perc,7,part2
70.26412060840235,82.33259354509293,0.4 mesh,50perc,8,part1
70.20976181516035,82.7633551741453,0.4 mesh,50perc,8,part2
70.40173936071821,82.6823021021094,0.4 mesh,60perc,1,part1
69.9100898612822,82.32866993076277,0.4 mesh,60perc,1,part2
70.35680680882248,82.30196953935096,0.4 mesh,60perc,2,part1
69.7759381751234,82.46361392070285,0.4 mesh,60perc,2,part2
70.56304898784946,82.62850626115328,0.4 mesh,60perc,3,part1
69.7532639199083,82.4067698776783,0.4 mesh,60perc,3,part2
70.48124192175584,82.45169974051952,0.4 mesh,60perc,4,part1
69.56435619403314,82.3745629503165,0.4 mesh,60perc,4,part2
70.49095057327544,82.33711175499671,0.4 mesh,60perc,5,part1
69.74077602935392,82.36261276877856,0.4 mesh,60perc,5,part2
70.52761608959513,82.41002053621365,0.4 mesh,60perc,6,part1
69.97383596975946,82.74906435911235,0.4 mesh,60perc,6,part2
70.34757131866971,82.40471285347252,0.4 mesh,60perc,7,part1
70.2044797204345,82.74901187833913,0.4 mesh,60perc,7,part2
70.23215309694888,82.32838808326945,0.4 mesh,60perc,8,part1
70.21528756973348,82.77869354410036,0.4 mesh,60perc,8,part2
70.38995068519492,82.77173624984644,0.4 mesh,70perc,1,part1
69.89365581799457,82.28363826001096,0.4 mesh,70perc,1,part2
70.34570852426016,82.27419519138171,0.4 mesh,70perc,2,part1
69.80497847876451,82.479212768102,0.4 mesh,70perc,2,part2
70.5568298560484,82.58272686718684,0.4 mesh,70perc,3,part1
69.74011476990192,82.36700526545826,0.4 mesh,70perc,3,part2
70.51789090853953,82.48953216190608,0.4 mesh,70perc,4,part1
69.52308982392437,82.3509970771224,0.4 mesh,70perc,4,part2
70.49484814097946,82.30613907680662,0.4 mesh,70perc,5,part1
69.75415011267182,82.3743592259667,0.4 mesh,70perc,5,part2
70.51440725724188,82.41534810125069,0.4 mesh,70perc,6,part1
69.97485131684041,82.74402516777359,0.4 mesh,70perc,6,part2
70.35334253020108,82.41305317871286,0.4 mesh,70perc,7,part1
70.19945641061676,82.75772861836236,0.4 mesh,70perc,7,part2
70.16629973794427,82.31833788942673,0.4 mesh,70perc,8,part1
70.26357334713171,82.79553434891028,0.4 mesh,70perc,8,part2
70.41211559649028,82.71018541229081,0.4 mesh,80perc,1,part1
69.89269098871434,82.18463692131432,0.4 mesh,80perc,1,part2
70.34335843760779,82.30619090622321,0.4 mesh,80perc,2,part1
69.83402644962449,82.46296361500951,0.4 mesh,80perc,2,part2
70.62540920495559,82.65853012031535,0.4 mesh,80perc,3,part1
69.7252688902022,82.36243271373996,0.4 mesh,80perc,3,part2
70.51867976701486,82.50483192456892,0.4 mesh,80perc,4,part1
69.50702768433345,82.31436816027897,0.4 mesh,80perc,4,part2
70.54809909632297,82.31960498851606,0.4 mesh,80perc,5,part1
69.76133411373456,82.29978225797645,0.4 mesh,80perc,5,part2
70.52711543014058,82.39027460688622,0.4 mesh,80perc,6,part1
70.01449210919519,82.75103149038132,0.4 mesh,80perc,6,part2
70.33848571264701,82.41257377039176,0.4 mesh,80perc,7,part1
70.23613813998162,82.8113505481207,0.4 mesh,80perc,7,part2
70.23613144669685,82.2887233423904,0.4 mesh,80perc,8,part1
70.252310587643,82.81155053659631,0.4 mesh,80perc,8,part2
70.47971465610439,82.79125709447275,0.4 mesh,90perc,1,part1
69.89471450886842,82.24426677428846,0.4 mesh,90perc,1,part2
70.35999635431595,82.19097856236841,0.4 mesh,90perc,2,part1
69.81257893859367,82.48118443609512,0.4 mesh,90perc,2,part2
70.6040675996614,82.66489058626667,0.4 mesh,90perc,3,part1
69.71883301598133,82.35684988202105,0.4 mesh,90perc,3,part2
70.48555513894847,82.51184140973244,0.4 mesh,90perc,4,part1
69.48317520881317,82.3022414050632,0.4 mesh,90perc,4,part2
70.54572215924414,82.30279583918538,0.4 mesh,90perc,5,part1
69.7293153996418,82.33518077212821,0.4 mesh,90perc,5,part2
70.47520183419628,82.39401998653977,0.4 mesh,90perc,6,part1
69.98354444642663,82.74664897915156,0.4 mesh,90perc,6,part2
70.39072949680502,82.3491296633573,0.4 mesh,90perc,7,part1
70.20452192029052,82.80963645897701,0.4 mesh,90perc,7,part2
70.20625446075677,82.29032756100843,0.4 mesh,90perc,8,part1
70.31714245784116,82.81734245581774,0.4 mesh,90perc,8,part2
