Angle (degrees),Height,Peça,Scan,Iteração,Part
70.16662025322043,81.91620393914968,0.1 mesh,90perc,1,part1
69.97126397207845,82.3651138500376,0.1 mesh,90perc,1,part2
70.25428150767351,82.23152097621387,0.1 mesh,90perc,2,part1
69.61677028373354,82.31892805334732,0.1 mesh,90perc,2,part2
70.34126046397476,82.13921622739136,0.1 mesh,90perc,3,part1
69.72210543617045,82.29769282696292,0.1 mesh,90perc,3,part2
70.34416941151893,82.24378752176858,0.1 mesh,90perc,4,part1
69.50973190337307,82.33973470185528,0.1 mesh,90perc,4,part2
70.4130875898351,82.21542001515883,0.1 mesh,90perc,5,part1
69.65203482608976,82.28723928041882,0.1 mesh,90perc,5,part2
70.34847991255769,82.22935359482759,0.1 mesh,90perc,6,part1
69.7678087025632,82.28151678383384,0.1 mesh,90perc,6,part2
70.26987491472322,82.27872950220114,0.1 mesh,90perc,7,part1
69.89168701747676,82.26202025409015,0.1 mesh,90perc,7,part2
70.18226194239023,82.30234801577394,0.1 mesh,90perc,8,part1
69.97093286976983,82.24459458825187,0.1 mesh,90perc,8,part2
70.28103493554775,82.50099914641712,0.2 mesh,90perc,1,part1
70.10099106374406,82.49709348401345,0.2 mesh,90perc,1,part2
70.39189339211944,82.31957571272947,0.2 mesh,90perc,2,part1
69.69310237460587,82.44223208245177,0.2 mesh,90perc,2,part2
70.47571764833076,82.46355286375626,0.2 mesh,90perc,3,part1
69.84322432277916,82.50827128959955,0.2 mesh,90perc,3,part2
70.41255267261684,82.3845863482325,0.2 mesh,90perc,4,part1
69.62949804238724,82.4338679244813,0.2 mesh,90perc,4,part2
70.47634939495015,82.23845758711973,0.2 mesh,90perc,5,part1
69.81688462629339,82.40117150914804,0.2 mesh,90perc,5,part2
70.68658337414853,82.30734662004807,0.2 mesh,90perc,6,part1
69.8635623863902,82.43865443828031,0.2 mesh,90perc,6,part2
70.53173070818981,82.3957306243949,0.2 mesh,90perc,7,part1
70.09707638040857,82.40416073677142,0.2 mesh,90perc,7,part2
70.44043510327622,82.42273004605548,0.2 mesh,90perc,8,part1
70.10827858473709,82.4963095074857,0.2 mesh,90perc,8,part2
70.49737243900596,82.79438866831934,0.3 mesh,90perc,1,part1
69.86594390119352,82.23358391467744,0.3 mesh,90perc,1,part2
70.37862148921953,82.27939839454167,0.3 mesh,90perc,2,part1
69.78836651323914,82.42931014816028,0.3 mesh,90perc,2,part2
70.58274567685258,82.67416489453639,0.3 mesh,90perc,3,part1
69.73939082002477,82.37430125297142,0.3 mesh,90perc,3,part2
70.53845830387081,82.45754462904047,0.3 mesh,90perc,4,part1
69.49749022626698,82.31624117175792,0.3 mesh,90perc,4,part2
70.52539439273407,82.30569979118486,0.3 mesh,90perc,5,part1
69.73524669425002,82.30874941514664,0.3 mesh,90perc,5,part2
70.49138925466214,82.3578031924254,0.3 mesh,90perc,6,part1
70.03365631302138,82.75901741509166,0.3 mesh,90perc,6,part2
70.34628451201253,82.34830186834306,0.3 mesh,90perc,7,part1
70.23266868203197,82.79658191450001,0.3 mesh,90perc,7,part2
70.20779270961549,82.30318013870767,0.3 mesh,90perc,8,part1
70.31810857486312,82.8323955303782,0.3 mesh,90perc,8,part2
70.47971465610439,82.79125709447275,0.4 mesh,90perc,1,part1
69.89471450886842,82.24426677428846,0.4 mesh,90perc,1,part2
70.35999635431595,82.19097856236841,0.4 mesh,90perc,2,part1
69.81257893859367,82.48118443609512,0.4 mesh,90perc,2,part2
70.6040675996614,82.66489058626667,0.4 mesh,90perc,3,part1
69.71883301598133,82.35684988202105,0.4 mesh,90perc,3,part2
70.48555513894847,82.51184140973244,0.4 mesh,90perc,4,part1
69.48317520881317,82.3022414050632,0.4 mesh,90perc,4,part2
70.54572215924414,82.30279583918538,0.4 mesh,90perc,5,part1
69.7293153996418,82.33518077212821,0.4 mesh,90perc,5,part2
70.47520183419628,82.39401998653977,0.4 mesh,90perc,6,part1
69.98354444642663,82.74664897915156,0.4 mesh,90perc,6,part2
70.39072949680502,82.3491296633573,0.4 mesh,90perc,7,part1
70.20452192029052,82.80963645897701,0.4 mesh,90perc,7,part2
70.20625446075677,82.29032756100843,0.4 mesh,90perc,8,part1
70.31714245784116,82.81734245581774,0.4 mesh,90perc,8,part2
70.47395948429181,82.67313291644666,0.5 mesh,90perc,1,part1
69.99352300557362,82.32809067575408,0.5 mesh,90perc,1,part2
70.37066767825561,82.28936684364183,0.5 mesh,90perc,2,part1
69.84755636920147,82.46315442298271,0.5 mesh,90perc,2,part2
70.65844316518364,82.59901462639067,0.5 mesh,90perc,3,part1
69.8782716394249,82.29623464073644,0.5 mesh,90perc,3,part2
70.53520514613517,82.49738132882692,0.5 mesh,90perc,4,part1
69.691317762384,82.48326514345676,0.5 mesh,90perc,4,part2
70.55688239490806,82.32051175236575,0.5 mesh,90perc,5,part1
69.86287558757142,82.39042976454668,0.5 mesh,90perc,5,part2
70.63753762443916,82.47244908206234,0.5 mesh,90perc,6,part1
70.10259096242132,82.74871760577443,0.5 mesh,90perc,6,part2
70.46238086219358,82.39777973298668,0.5 mesh,90perc,7,part1
70.2042619184333,82.76935045276949,0.5 mesh,90perc,7,part2
70.32825212848168,82.42618973982499,0.5 mesh,90perc,8,part1
70.29726282471049,82.83228440782982,0.5 mesh,90perc,8,part2
70.5152423267855,82.77266036890839,0.6 mesh,90perc,1,part1
70.08305955651818,82.44379066061765,0.6 mesh,90perc,1,part2
70.39050287384528,82.3673008959256,0.6 mesh,90perc,2,part1
69.84993743660145,82.4677618975238,0.6 mesh,90perc,2,part2
70.55250860087114,82.64996665954544,0.6 mesh,90perc,3,part1
69.87973836813065,82.3931146851739,0.6 mesh,90perc,3,part2
70.54598164692061,82.50148908468181,0.6 mesh,90perc,4,part1
69.73402749299851,82.34401988167478,0.6 mesh,90perc,4,part2
70.66202159482701,82.37157102231312,0.6 mesh,90perc,5,part1
69.8183954727505,82.43005490830576,0.6 mesh,90perc,5,part2
70.62977101194433,82.49834153999488,0.6 mesh,90perc,6,part1
70.04343220985847,82.6442821171381,0.6 mesh,90perc,6,part2
70.4627423776576,82.47831914736364,0.6 mesh,90perc,7,part1
70.23233935815169,82.75268822095555,0.6 mesh,90perc,7,part2
70.43356364602766,82.48663561075001,0.6 mesh,90perc,8,part1
70.28069105226432,82.75607974538889,0.6 mesh,90perc,8,part2
70.50897410780436,82.05319113873847,0.7 mesh,90perc,1,part1
70.33530468586274,82.39118591314379,0.7 mesh,90perc,1,part2
70.63232068451862,82.34014586506248,0.7 mesh,90perc,2,part1
69.89642862995382,82.26511426364168,0.7 mesh,90perc,2,part2
70.63125215503057,82.18727927395605,0.7 mesh,90perc,3,part1
70.12593337496054,82.2816375561345,0.7 mesh,90perc,3,part2
70.65734162843768,82.41682386857212,0.7 mesh,90perc,4,part1
69.94201979207176,82.3503352562909,0.7 mesh,90perc,4,part2
70.65895695174336,82.3209540949762,0.7 mesh,90perc,5,part1
69.96629916753179,82.15959014613635,0.7 mesh,90perc,5,part2
70.8419296759007,82.27189316775491,0.7 mesh,90perc,6,part1
70.18778413114907,82.15160972115909,0.7 mesh,90perc,6,part2
70.70614884916769,82.1624345791875,0.7 mesh,90perc,7,part1
70.23508050309394,82.37873598676923,0.7 mesh,90perc,7,part2
70.56204098355826,82.34711106404762,0.7 mesh,90perc,8,part1
70.3476390172026,82.1490073440857,0.7 mesh,90perc,8,part2
70.52677822037357,82.79165344975397,0.8 mesh,90perc,1,part1
69.82400646503517,81.9727710016447,0.8 mesh,90perc,1,part2
70.31739739320878,82.15641886969762,0.8 mesh,90perc,2,part1
69.69671673950903,82.42568615478638,0.8 mesh,90perc,2,part2
70.72860282652071,82.60267262107084,0.8 mesh,90perc,3,part1
69.74380682754631,82.13430175190385,0.8 mesh,90perc,3,part2
70.50342073245709,82.32980418732916,0.8 mesh,90perc,4,part1
69.67950975110672,82.32938656953206,0.8 mesh,90perc,4,part2
70.58247981148574,82.37157501555845,0.8 mesh,90perc,5,part1
69.78453080049368,82.0519366245,0.8 mesh,90perc,5,part2
70.51898896837248,82.09088415986842,0.8 mesh,90perc,6,part1
70.08866427788679,82.76402718747369,0.8 mesh,90perc,6,part2
