fold,hidden_layer_sizes,activation,solver,max_iter,best_cv_r2
0,"(8,)",relu,lbfgs,500,-0.05785216281634842
0,"(64,)",relu,lbfgs,500,-0.057860569365952304
0,"(16,)",relu,lbfgs,500,-0.05828447321395197
0,"(64, 32)",relu,lbfgs,500,-0.059744624171521155
0,"(32, 16)",relu,lbfgs,500,-0.06773389843545512
0,"(64, 32, 16)",relu,lbfgs,500,-0.08183317063981839
0,"(32,)",relu,lbfgs,500,-0.10184317067442293
0,"(32,)",relu,adam,500,-0.1423378494859409
0,"(32, 16)",relu,adam,500,-0.15680766344749844
0,"(64, 32, 16)",relu,adam,500,-0.24820450366683888
0,"(64, 32)",relu,adam,500,-0.3293726885041515
0,"(8,)",relu,adam,500,-0.404326431423591
0,"(64,)",relu,adam,500,-0.47300104916538505
0,"(16,)",relu,adam,500,-1.4025540271520949
0,"(8,)",relu,lbfgs,500,-0.05785216281634842
0,"(64,)",relu,lbfgs,500,-0.057860569365952304
0,"(16,)",relu,lbfgs,500,-0.05828447321395197
0,"(64, 32)",relu,lbfgs,500,-0.059744624171521155
0,"(32, 16)",relu,lbfgs,500,-0.06773389843545512
0,"(64, 32, 16)",relu,lbfgs,500,-0.08183317063981839
0,"(32,)",relu,lbfgs,500,-0.10184317067442293
0,"(32,)",relu,adam,500,-0.1423378494859409
0,"(32, 16)",relu,adam,500,-0.15680766344749844
0,"(64, 32, 16)",relu,adam,500,-0.24820450366683888
0,"(64, 32)",relu,adam,500,-0.3293726885041515
0,"(8,)",relu,adam,500,-0.404326431423591
0,"(64,)",relu,adam,500,-0.47300104916538505
0,"(16,)",relu,adam,500,-1.4025540271520949
1,"(16,)",relu,lbfgs,500,-0.05825768017956332
1,"(32, 16)",relu,lbfgs,500,-0.06043360009607187
1,"(8,)",relu,lbfgs,500,-0.06082791369261844
1,"(64, 32)",relu,lbfgs,500,-0.06235777678198121
1,"(64,)",relu,lbfgs,500,-0.06235871146648059
1,"(32,)",relu,lbfgs,500,-0.07809345991862275
1,"(64, 32, 16)",relu,lbfgs,500,-0.11854170283586574
1,"(32,)",relu,adam,500,-0.13257158412451106
1,"(32, 16)",relu,adam,500,-0.22959254409775243
1,"(64, 32, 16)",relu,adam,500,-0.3324730157275717
1,"(64,)",relu,adam,500,-0.36245865566413626
1,"(64, 32)",relu,adam,500,-0.3946976539309783
1,"(8,)",relu,adam,500,-0.42533976387915
1,"(16,)",relu,adam,500,-1.381710186645191
1,"(16,)",relu,lbfgs,500,-0.05825768017956332
1,"(32, 16)",relu,lbfgs,500,-0.06043360009607187
1,"(8,)",relu,lbfgs,500,-0.06082791369261844
1,"(64, 32)",relu,lbfgs,500,-0.06235777678198121
1,"(64,)",relu,lbfgs,500,-0.06235871146648059
1,"(32,)",relu,lbfgs,500,-0.07809345991862275
1,"(64, 32, 16)",relu,lbfgs,500,-0.11854170283586574
1,"(32,)",relu,adam,500,-0.13257158412451106
1,"(32, 16)",relu,adam,500,-0.22959254409775243
1,"(64, 32, 16)",relu,adam,500,-0.3324730157275717
1,"(64,)",relu,adam,500,-0.36245865566413626
1,"(64, 32)",relu,adam,500,-0.3946976539309783
1,"(8,)",relu,adam,500,-0.42533976387915
1,"(16,)",relu,adam,500,-1.381710186645191
2,"(64, 32)",relu,lbfgs,500,-0.057728553122453265
2,"(8,)",relu,lbfgs,500,-0.05912342546407907
2,"(16,)",relu,lbfgs,500,-0.05989899878504316
2,"(64,)",relu,lbfgs,500,-0.0623165179121575
2,"(32,)",relu,lbfgs,500,-0.07987454016273608
2,"(32, 16)",relu,lbfgs,500,-0.08496830024853358
2,"(32,)",relu,adam,500,-0.13925496455746814
2,"(64, 32, 16)",relu,lbfgs,500,-0.14207007519590964
2,"(32, 16)",relu,adam,500,-0.21095034317102415
2,"(64,)",relu,adam,500,-0.27327499911863523
2,"(64, 32, 16)",relu,adam,500,-0.2953169366691874
2,"(8,)",relu,adam,500,-0.4126362413316629
2,"(64, 32)",relu,adam,500,-0.42703956628778306
2,"(16,)",relu,adam,500,-1.3841505719629505
2,"(64, 32)",relu,lbfgs,500,-0.057728553122453265
2,"(8,)",relu,lbfgs,500,-0.05912342546407907
2,"(16,)",relu,lbfgs,500,-0.05989899878504316
2,"(64,)",relu,lbfgs,500,-0.0623165179121575
2,"(32,)",relu,lbfgs,500,-0.07987454016273608
2,"(32, 16)",relu,lbfgs,500,-0.08496830024853358
2,"(32,)",relu,adam,500,-0.13925496455746814
2,"(64, 32, 16)",relu,lbfgs,500,-0.14207007519590964
2,"(32, 16)",relu,adam,500,-0.21095034317102415
2,"(64,)",relu,adam,500,-0.27327499911863523
2,"(64, 32, 16)",relu,adam,500,-0.2953169366691874
2,"(8,)",relu,adam,500,-0.4126362413316629
2,"(64, 32)",relu,adam,500,-0.42703956628778306
2,"(16,)",relu,adam,500,-1.3841505719629505
3,"(8,)",relu,lbfgs,500,-0.058028597261078924
3,"(16,)",relu,lbfgs,500,-0.058140761352761916
3,"(64,)",relu,lbfgs,500,-0.05937154493667321
3,"(32, 16)",relu,lbfgs,500,-0.06144759068984315
3,"(32,)",relu,lbfgs,500,-0.06320071982897092
3,"(64, 32)",relu,lbfgs,500,-0.0813128211050599
3,"(32,)",relu,adam,500,-0.11215366902017056
3,"(64, 32, 16)",relu,lbfgs,500,-0.12964838721455352
3,"(32, 16)",relu,adam,500,-0.1807085515439348
3,"(64, 32)",relu,adam,500,-0.26575576522169614
3,"(64, 32, 16)",relu,adam,500,-0.3041507091799533
3,"(64,)",relu,adam,500,-0.35103900427323054
3,"(8,)",relu,adam,500,-1.24058456849267
3,"(16,)",relu,adam,500,-1.443441036469313
3,"(8,)",relu,lbfgs,500,-0.058028597261078924
3,"(16,)",relu,lbfgs,500,-0.058140761352761916
3,"(64,)",relu,lbfgs,500,-0.05937154493667321
3,"(32, 16)",relu,lbfgs,500,-0.06144759068984315
3,"(32,)",relu,lbfgs,500,-0.06320071982897092
3,"(64, 32)",relu,lbfgs,500,-0.0813128211050599
3,"(32,)",relu,adam,500,-0.11215366902017056
3,"(64, 32, 16)",relu,lbfgs,500,-0.12964838721455352
3,"(32, 16)",relu,adam,500,-0.1807085515439348
3,"(64, 32)",relu,adam,500,-0.26575576522169614
3,"(64, 32, 16)",relu,adam,500,-0.3041507091799533
3,"(64,)",relu,adam,500,-0.35103900427323054
3,"(8,)",relu,adam,500,-1.24058456849267
3,"(16,)",relu,adam,500,-1.443441036469313
4,"(8,)",relu,lbfgs,500,-0.05737210293773537
